request_id,k6_endpoint,k6_status,k6_duration_ms,k6_waiting_ms,k6_receiving_ms,nginx_status,nginx_total_ms,nginx_upstream_ms,nginx_connect_ms,nginx_header_ms,gateway_status,gateway_total_ms,gateway_auth_ms,gateway_upstream_ms,gateway_other_ms,k6_minus_nginx_ms,nginx_minus_gateway_ms,k6_minus_gateway_ms
3a9f2926-26c0-484e-9d68-9a876daf7523,,,,,,200,83.0,80.0,0.0,80.0,,,,,,,,
1acee9d6-196a-4a98-8385-805f02a9e29f,,,,,,200,91.0,92.0,0.0,92.0,,,,,,,,
79e33244-4e4f-4f9e-9f68-87af12a8e497,,,,,,200,81.0,80.0,0.0,80.0,,,,,,,,
9ea380df-2cf9-450b-a5b0-81f3e429b386,,,,,,200,77.0,76.0,0.0,76.0,,,,,,,,
6926ec38-a2fc-46ec-9846-a49fb63ecc78,,,,,,200,89.0,88.0,0.0,88.0,,,,,,,,
2beb16a1-6186-4cb3-bc29-db78dd2e3f0b,,,,,,200,128.0,128.0,0.0,128.0,,,,,,,,
ac9be4e9-4e7e-4ed5-a969-928f8b57a263,,,,,,200,76.0,76.0,0.0,76.0,,,,,,,,
b55e4687-1073-46df-9f32-d249bf0033fa,,,,,,200,81.0,80.0,0.0,80.0,,,,,,,,
b643a764-66f4-4f12-b985-1aae4e51de27,,,,,,200,132.0,132.0,0.0,132.0,,,,,,,,
a6adea68-0db1-4b6e-905c-f1ad217e3b11,,,,,,200,76.0,76.0,4.0,76.0,,,,,,,,
25d8cb97-a17f-45e4-b84b-80bc9c1f55bd,,,,,,200,79.0,80.0,0.0,80.0,,,,,,,,
7d256477-9303-47b4-af46-96f284a3fad7,,,,,,200,74.0,76.0,4.0,76.0,,,,,,,,
e2f93004-a6cd-4c01-802f-9ad4c07ac3f3,,,,,,200,80.0,80.0,0.0,80.0,,,,,,,,
86b383d3-48c7-4dbb-8126-5c297761a0c6,,,,,,200,83.0,80.0,0.0,80.0,,,,,,,,
783f444c-de5a-46e9-9e67-f9c1e2d39356,,,,,,200,82.0,80.0,0.0,80.0,,,,,,,,
ca9ef546-e546-42e9-9ccf-3789ebd7f1ce,,,,,,200,91.0,92.0,4.0,92.0,,,,,,,,
eb96fc9d-b93e-4dc2-ae36-a92f58f8eac1,,,,,,200,88.0,88.0,0.0,88.0,,,,,,,,
86fef24b-6739-4aba-a488-88050931f117,,,,,,200,90.0,92.0,0.0,92.0,,,,,,,,
5057a0a9-de0b-48a1-a9c7-88e1c144a516,,,,,,200,102.0,104.0,0.0,104.0,,,,,,,,
df229ed3-040c-4d4f-b6e4-132abfa4c793,,,,,,200,105.0,104.0,0.0,104.0,,,,,,,,
688de350-903a-426d-a3c6-7da9fc014379,,,,,,200,94.0,92.0,0.0,92.0,,,,,,,,
2ef8f33d-d612-4651-8105-154cedfb03c3,,,,,,200,91.0,92.0,0.0,92.0,,,,,,,,
36a96f89-610a-4477-83de-36234cfb7eb9,,,,,,200,90.0,92.0,0.0,92.0,,,,,,,,
40c41b5e-36c1-4f4f-bcdc-636e4c176edc,,,,,,200,95.0,96.0,0.0,96.0,,,,,,,,
0596fcb8-82bd-4cc5-87d1-cca2e9b0d904,,,,,,200,77.0,76.0,0.0,76.0,,,,,,,,
3c2b4557-b3b8-401d-b030-70722ff5c422,,,,,,200,130.0,128.0,0.0,128.0,,,,,,,,
c4d8791c-c392-44f6-abf3-2915a352152a,,,,,,200,78.0,80.0,0.0,80.0,,,,,,,,
